Código Departamento,Departamento,Código Municipio,Municipio,Área,Sector Electoral,Centro de Votación,JRV,Carga Electoral
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,51,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,52,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,53,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,54,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,55,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,56,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,57,353
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. ESQUIPULAS O LA CULATA,CEBG. JUAN MANUEL MORA DURON,58,181
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SITRAMACSA,INSTITUTO OFICIAL LA CEIBA,59,319
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SITRAMACSA,INSTITUTO OFICIAL LA CEIBA,60,319
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SITRAMACSA,INSTITUTO OFICIAL LA CEIBA,61,318
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,62,368
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,63,368
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,64,368
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,65,368
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,66,367
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,67,367
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. INDEPENDENCIA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,68,340
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. INDEPENDENCIA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,69,340
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. INDEPENDENCIA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,70,339
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. INDEPENDENCIA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,71,339
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SOLARES NUEVOS,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,72,329
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SOLARES NUEVOS,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,73,329
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SOLARES NUEVOS,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,74,328
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SOLARES NUEVOS,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,75,328
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,76,352
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,77,352
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,78,352
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,79,352
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,80,352
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,81,352
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,82,352
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,83,352
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,84,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. ALVARADO,ESC. JOSE TRINIDAD CABAÑAS,85,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BELLA VISTA,CEB JOSE CECIIO DEL VALLE,86,336
